firstname,surname,latitude,longitude
Phyllis,Willis,59.3939,15.8388
Barbara,Meyer,-20.44278,-54.64639
Barbara,Anderson,50.45648,119.77246
Gloria,Garrett,50.00763,18.15748
Janet,Barnes,-8.624,115.2414
Eugene,Weaver,10.916,122.6388
Steven,Anderson,13.82738,109.16651
Marilyn,Crawford,-7.0438,108.1819
Nicole,Matthews,25.46519,119.84388
Susan,Alvarez,-7.1332,113.53472
Christine,Richardson,28.06058,67.98027
Pamela,Garrett,56.11281,69.49015
Gerald,Fisher,-23.64342,-64.47194
Eugene,Coleman,30.97225,30.95614
Anthony,Ward,54.46923,38.72095
Diane,Adams,-8.4755,115.1518
Kenneth,Gordon,9.9959,-84.05126
Joseph,Warren,8.45611,125.78417
Catherine,Price,-32.91656,-65.37535
Annie,Ward,15.54783,103.02467
Raymond,Robinson,-9.78111,-36.09361
Janet,Hill,27.59152,118.46817
Christine,Watson,4.52271,-76.03738
Brian,Parker,34.15278,108.20639
Lillian,Matthews,45.7168,-75.06599
Maria,Ryan,-18.05514,-63.42821
Janet,Gonzalez,8.69778,-13.23917
Keith,Jackson,-35.23383,-63.59205
Christine,Walker,33.89284,108.01043
John,Payne,44.36944,20.16528
Elizabeth,Brooks,60.1496,15.1878
Kathy,Bell,-9.31674,-76.93953
Diane,Gilbert,-13.75861,-73.5275
Anthony,Olson,32.1714,35.09767
John,Collins,38.7,-8.9167
Amy,Peterson,46.46682,83.70331
Jennifer,Turner,-8.7215,121.9897
Lillian,Weaver,32.63941,103.59683
Dennis,Lynch,-23.07444,-44.95972
Roger,Kelley,49.99273,88.67598
Kenneth,Ross,10.76684,106.70574
Ralph,Mills,-31.63333,-60.7
Robert,Montgomery,-8.2631,113.8575
Fred,Willis,38.8933,-77.0146
Brenda,Henderson,28.10756,109.60558
Denise,Lane,33.41359,113.37209
Justin,Ross,41.56667,23.73333
Cynthia,Willis,39.19883,117.03314
Ann,Fuller,17.18561,-25.07243
Emily,Harper,12.24364,102.51514
Susan,Elliott,-26.93382,-58.6604
Martin,Howard,45.44556,40.845
Maria,Graham,27.92416,115.42805
Virginia,Ferguson,30.29345,122.12264
Joe,Nichols,-8.1649,124.668
Jean,Dean,14.60972,-90.65694
Matthew,Hicks,43.98333,89.06667
Jose,Carpenter,29.64414,70.59544
Steven,Perez,21.61004,110.84856
Beverly,Stevens,-24.885,28.29417
Daniel,Williams,35.7,138.73333
Andrea,Tucker,6.58667,124.54722
Brandon,Griffin,13.9909,122.5298
Tina,Baker,51.81,4.6736
Robert,Porter,34.45294,107.20425
Louise,Hart,29.57652,109.71242
Todd,Nichols,45.39361,40.76583
Rebecca,Andrews,-29.823,27.23744
Samuel,Carter,39.13125,113.19119
Phyllis,Lewis,26.34864,119.62582
Phyllis,Schmidt,47.2488,6.0182
Virginia,Rodriguez,-27.50518,-55.39497
Earl,Frazier,15.37897,43.42121
Arthur,Harper,10.38522,11.69678
Kimberly,Fuller,6.9269,79.9095
Shawn,Welch,53.92077,19.03072
Robin,Howard,28.95944,118.86861
Melissa,Sullivan,51.88247,17.01226
Ashley,Carter,-2.5691,140.5127
Helen,Hamilton,60.1353,10.1678
Christopher,Thomas,-20.46369,16.64772
Joshua,Fox,59.8907,10.5277
Barbara,Bradley,-8.326,118.8938
Kevin,Simpson,5.2068,97.07743
Jonathan,Coleman,30.43639,113.26487
Robert,Elliott,62.48333,30.6
Eugene,Mendoza,-54.8,-68.3
Alan,Burton,34.93998,36.32212
David,Davis,10.7,122.49889
Jason,Lawrence,47.6667,-2.75
Anne,Carr,24.60937,115.77546
Jeremy,George,59.64511,33.52937
Sean,Perez,43.32361,145.575
Arthur,Wilson,17.29484,-62.7261
Cynthia,Cunningham,48.8919,2.239
Wayne,Henry,16.75606,122.00374
Jennifer,Riley,37.51084,105.18445
Willie,Price,29.84896,117.8722
Carlos,Mendoza,16.55888,121.15124
Maria,Ross,13.2389,123.6057
Judy,Crawford,50.98577,20.66391
Mark,Davis,50.13287,82.52481
Louis,Ramirez,59.1833,17.4333
Judith,Peterson,-21.69694,-45.25333
Amy,Taylor,28.43089,108.5758
Joseph,Wheeler,-34.3,-57.23333
Anne,Murphy,30.24588,122.19895
Pamela,Greene,41.3083,-8.6667
Dennis,Nelson,14.88333,-88.28333
Diane,Murphy,-10.10526,39.61859
Dennis,Hanson,35.70611,139.55944
Maria,Cooper,59.3613,17.9711
Wanda,Olson,51.4238,-0.2037
Jesse,Barnes,27.91132,116.77637
Earl,Turner,-22.95194,-46.54194
Timothy,Carr,47.2538,-1.4843
Billy,Montgomery,-15.76667,-70.25
Cheryl,Gonzalez,24.08781,112.33238
Martin,Carpenter,-22.33028,-47.1725
Scott,Meyer,9.0651,123.0524
Bonnie,Ellis,-8.3729,113.6036
Donald,Woods,26.76667,85.26667
George,Arnold,35.265,25.72127
Earl,Thomas,-21.59556,-48.81278
Michael,Lynch,41,-7.05
Catherine,Ross,-7.97639,-78.8136
Angela,Lewis,-22.52694,-41.945
Ashley,Carpenter,40.70917,19.64972
Pamela,Lee,29.02224,115.74111
Heather,Stephens,12.6576,-1.89288
Lisa,Cunningham,28.24425,103.63849
Willie,Porter,10.38854,-66.95179
Teresa,Johnston,60.87283,22.98512
Alan,Hughes,-8.496,115.041
Brandon,Miller,57.9171,13.8783
